Batch_ID	Cieli_nel_Batch	Tot_Cieli_Analizzati	Superamenti_nel_Batch	Tot_Superamenti	P_Value_Globale
84	100000	8400000	8	685	8.155e-05
85	100000	8500000	9	694	8.165e-05
86	100000	8600000	7	701	8.151e-05
87	100000	8700000	3	704	8.092e-05
88	100000	8800000	9	713	8.102e-05
89	100000	8900000	9	722	8.112e-05
90	100000	9000000	5	727	8.078e-05
91	100000	9100000	10	737	8.099e-05
92	100000	9200000	6	743	8.076e-05
93	100000	9300000	16	759	8.161e-05
94	100000	9400000	13	772	8.213e-05
95	100000	9500000	7	779	8.200e-05
96	100000	9600000	5	784	8.167e-05
97	100000	9700000	9	793	8.175e-05
98	100000	9800000	9	802	8.184e-05
99	100000	9900000	6	808	8.162e-05
100	100000	10000000	11	819	8.190e-05
1	100000	100000	7	7	7.000e-05
2	100000	200000	7	14	7.000e-05
3	100000	300000	9	23	7.667e-05
4	100000	400000	13	36	9.000e-05
5	100000	500000	10	46	9.200e-05
6	100000	600000	4	50	8.333e-05
7	100000	700000	15	65	9.286e-05
8	100000	800000	6	71	8.875e-05
9	100000	900000	5	76	8.444e-05
10	100000	1000000	8	84	8.400e-05
11	100000	1100000	6	90	8.182e-05
12	100000	1200000	5	95	7.917e-05
13	100000	1300000	10	105	8.077e-05
14	100000	1400000	4	109	7.786e-05
15	100000	1500000	7	116	7.733e-05
16	100000	1600000	10	126	7.875e-05
17	100000	1700000	8	134	7.882e-05
18	100000	1800000	3	137	7.611e-05
19	100000	1900000	6	143	7.526e-05
20	100000	2000000	8	151	7.550e-05
21	100000	2100000	8	159	7.571e-05
22	100000	2200000	6	165	7.500e-05
23	100000	2300000	8	173	7.522e-05
24	100000	2400000	9	182	7.583e-05
25	100000	2500000	11	193	7.720e-05
26	100000	2600000	4	197	7.577e-05
27	100000	2700000	8	205	7.593e-05
28	100000	2800000	4	209	7.464e-05
29	100000	2900000	7	216	7.448e-05
30	100000	3000000	12	228	7.600e-05
31	100000	3100000	12	240	7.742e-05
32	100000	3200000	2	242	7.562e-05
33	100000	3300000	10	252	7.636e-05
34	100000	3400000	9	261	7.676e-05
35	100000	3500000	8	269	7.686e-05
36	100000	3600000	10	279	7.750e-05
37	100000	3700000	7	286	7.730e-05
38	100000	3800000	4	290	7.632e-05
39	100000	3900000	7	297	7.615e-05
40	100000	4000000	10	307	7.675e-05
41	100000	4100000	5	312	7.610e-05
42	100000	4200000	8	320	7.619e-05
43	100000	4300000	7	327	7.605e-05
44	100000	4400000	14	341	7.750e-05
45	100000	4500000	11	352	7.822e-05
46	100000	4600000	9	361	7.848e-05
47	100000	4700000	7	368	7.830e-05
48	100000	4800000	14	382	7.958e-05
49	100000	4900000	9	391	7.980e-05
50	100000	5000000	10	401	8.020e-05
51	100000	5100000	17	418	8.196e-05
52	100000	5200000	8	426	8.192e-05
53	100000	5300000	6	432	8.151e-05
54	100000	5400000	10	442	8.185e-05
55	100000	5500000	8	450	8.182e-05
56	100000	5600000	10	460	8.214e-05
57	100000	5700000	8	468	8.211e-05
58	100000	5800000	15	483	8.328e-05
59	100000	5900000	11	494	8.373e-05
60	100000	6000000	8	502	8.367e-05
61	100000	6100000	11	513	8.410e-05
62	100000	6200000	7	520	8.387e-05
63	100000	6300000	4	524	8.317e-05
64	100000	6400000	8	532	8.313e-05
65	100000	6500000	5	537	8.262e-05
66	100000	6600000	12	549	8.318e-05
67	100000	6700000	9	558	8.328e-05
68	100000	6800000	2	560	8.235e-05
69	100000	6900000	6	566	8.203e-05
70	100000	7000000	3	569	8.129e-05
71	100000	7100000	9	578	8.141e-05
72	100000	7200000	6	584	8.111e-05
73	100000	7300000	7	591	8.096e-05
74	100000	7400000	5	596	8.054e-05
75	100000	7500000	6	602	8.027e-05
76	100000	7600000	11	613	8.066e-05
77	100000	7700000	8	621	8.065e-05
78	100000	7800000	17	638	8.179e-05
79	100000	7900000	13	651	8.241e-05
80	100000	8000000	7	658	8.225e-05
81	100000	8100000	8	666	8.222e-05
82	100000	8200000	4	670	8.171e-05
83	100000	8300000	11	681	8.205e-05
84	100000	8400000	6	687	8.179e-05
85	100000	8500000	5	692	8.141e-05
86	100000	8600000	11	703	8.174e-05
87	100000	8700000	7	710	8.161e-05
88	100000	8800000	13	723	8.216e-05
89	100000	8900000	12	735	8.258e-05
90	100000	9000000	10	745	8.278e-05
91	100000	9100000	6	751	8.253e-05
92	100000	9200000	3	754	8.196e-05
93	100000	9300000	9	763	8.204e-05
94	100000	9400000	6	769	8.181e-05
95	100000	9500000	10	779	8.200e-05
96	100000	9600000	8	787	8.198e-05
97	100000	9700000	12	799	8.237e-05
98	100000	9800000	9	808	8.245e-05
99	100000	9900000	7	815	8.232e-05
100	100000	10000000	9	824	8.240e-05
1	100000	100000	7	7	7.000e-05
2	100000	200000	14	21	1.050e-04
3	100000	300000	4	25	8.333e-05
4	100000	400000	7	32	8.000e-05
5	100000	500000	5	37	7.400e-05
6	100000	600000	8	45	7.500e-05
7	100000	700000	4	49	7.000e-05
8	100000	800000	6	55	6.875e-05
9	100000	900000	7	62	6.889e-05
10	100000	1000000	11	73	7.300e-05
11	100000	1100000	8	81	7.364e-05
12	100000	1200000	9	90	7.500e-05
13	100000	1300000	8	98	7.538e-05
14	100000	1400000	9	107	7.643e-05
15	100000	1500000	6	113	7.533e-05
16	100000	1600000	8	121	7.562e-05
17	100000	1700000	8	129	7.588e-05
18	100000	1800000	11	140	7.778e-05
19	100000	1900000	8	148	7.789e-05
20	100000	2000000	9	157	7.850e-05
21	100000	2100000	13	170	8.095e-05
22	100000	2200000	15	185	8.409e-05
23	100000	2300000	7	192	8.348e-05
24	100000	2400000	12	204	8.500e-05
25	100000	2500000	7	211	8.440e-05
26	100000	2600000	7	218	8.385e-05
27	100000	2700000	11	229	8.481e-05
28	100000	2800000	4	233	8.321e-05
